Movie Tittle,Year,Score,Consensus,Director,Cast
The Raid 2,2014,81,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.",Gareth Evans,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara"
Enter the Dragon,1973,94,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song.",Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Shih Kien"
Commando,1985,71,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.",Mark L. Lester,"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Hedaya"
First Blood,1982,85,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.",Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
Mission: Impossible Rogue Nation,2015,93,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg"
The Terminator,1984,100,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Gladiator,2000,77,Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Kill Bill: Volume 1,2003,85,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine"
Léon: The Professional,1994,73,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Speed,1994,94,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.",Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,83,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,Lau Kar-Leung,"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam"
John Wick,2014,86,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",David Leitch,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki"
"Crouching Tiger, Hidden Dragon",2001,97,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.",Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang"
Predator,1987,81,"Predator: Part sci-fi, part horror, part action -- all muscle.",John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke"
The Bourne Ultimatum,2007,92,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.",Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn"
Total Recall,1990,82,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.",,"Robert Picardo, Chuck Sloan, Dave Nicolson, Anne Lockhart"
Mad Max 2: The Road Warrior,1982,93,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.",George Miller,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty"
Heat,1995,86,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Raid: Redemption,2012,86,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.",Gareth Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian"
Mission: Impossible - Fallout,2018,97,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Raiders of the Lost Ark,1981,95,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
Aliens,1986,97,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.",James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Lat sau san taam (Hard-Boiled),1992,94,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.",John Woo,"Yun-Fat Chow, Tony Leung Chiu Wai, Anthony Wong, Teresa Mo"
The Matrix,1999,87,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.",Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano"
Terminator 2: Judgment Day,1991,93,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Die Hard,1988,93,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,John McTiernan,"Bruce Willis, Alan Rickman, Reginald VelJohnson, Bonnie Bedelia"
Mad Max: Fury Road,2015,97,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley"
